Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
BAFN,Common Stock,Bayfirst Financial Corp,"BayFirst Financial Corp. The company is headquartered in Saint Petersburg, Florida.",1649739,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"700 CENTRAL AVENUE, SUITE 102, ST PETERSBURG, FL, US",December,6/30/23,57372000,None,8.47,None,19.93,0.32,0.0222,1.65,17.07,0.0295,0.151,0.0075,0.0811,69341000,62250000,1.65,-0.567,0.304,None,8.47,-,0.396,0.767,-,-,1.006,19.25,11.04,13.82,15.64,4103800,9/15/23,8/31/23
AEZS,Common Stock,Aeterna Zentaris Inc,"Aeterna Zentaris Inc., a specialty biopharmaceutical company, is dedicated to the development and commercialization of therapeutic and diagnostic tests. The company is headquartered in Summerville, South Carolina.",1113423,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"C/O STIKEMAN ELLIOTT LLP, 1155 RENE-LEVESQUE BLVD. WEST, 41ST FLR, MONTREAL, QC, CA",December,6/30/23,12066600,-14881000,None,0,5.99,0,0,-4.57,1.796,-2.597,-1.71,-0.158,-0.543,8719000,5170000,-4.57,0,0.403,28,-,-,4.022,0.352,0.159,2.592,1.743,4.4,2.32,2.772,3.014,4855900,None,None
APCX,Common Stock,Apptech Corp,"AppTech Corp. The company is headquartered in Carlsbad, California.",1070050,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5876 OWENS AVENUE, SUITE 100, CARLSBAD, CA, US",December,6/30/23,58720000,-14925000,None,0,0.085,0,0,-1.32,0.026,0,-29.62,-0.85,-2.952,446000,230000,-1.32,0,0.089,1.79,-,-,34.19,1.325,23.9,-0.693,0.724,5.37,0.404,2.97,2.277,18523700,None,None
AEI,Common Stock,Alset Ehome International Inc,"Alset EHome International Inc., is engaged in property development, digital transformation technology, and biohealth activities in the United States, Singapore, Hong Kong, Australia, and South Korea. The company is headquartered in Bethesda, Maryland.",1750106,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"HAMPDEN SQUARE,4800 MONTGOMERY LANE, SUITE 210, BETHESDA, MD, US",December,6/30/23,12836800,458300,None,None,14.13,0,0,-4.67,2.663,-1.601,-0.0351,-0.0028,-0.246,21682600,8497000,-4.67,0,19.68,2.02,-,-,3.797,0.171,0.0379,1.429,1.017,5.6,1.25,1.577,2.091,9235100,None,None
BGFV,Common Stock,Big 5 Sporting Goods Corporation,"Big 5 Sporting Goods Corporation is a sporting goods retailer in the western United States. The company is headquartered in El Segundo, California.",1156388,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,"2525 EAST EL SEGUNDO BOULEVARD, EL SEGUNDO, CA, US",December,6/30/23,155368000,26950000,18.7,4.45,11.82,1,0.146,0.37,43.81,0.0084,0.0107,0.0086,0.0303,948263000,341215000,0.37,-0.978,-0.119,9.5,18.7,-,0.225,0.903,0.5,6.73,2.839,12.44,6.47,8.14,8.56,22452000,9/15/23,8/31/23
BEAT,Common Stock,Heartbeam Inc,"BioTelemetry, Inc., a remote medical technology company, provides remote heart monitoring, remote blood glucose monitoring, centralized central laboratory services for clinical trials, and original equipment manufacturing services for healthcare and clinical research clients throughout the world. The company is headquartered in Malvern, Pennsylvania.",1779372,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2118 WALSH AVE., SUITE 210, SANTA CLARA, CA, US",December,6/30/23,58676000,None,None,None,0.81,0,0,-1.44,0,0,0,-0.59,-0.971,0,0,-1.44,0,0,5.39,-,-,-,7.95,-,-4.736,None,6.74,1.82,2.67,3.158,26311900,None,None
AROW,Common Stock,Arrow Financial Corporation,"Arrow Financial Corporation, a banking holding company, offers consumer and commercial banking and financial products and services. The company is headquartered in Glens Falls, New York.",717538,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"250 GLEN ST, GLENS FALLS, NY, US",December,6/30/23,293765000,None,7.56,2.41,21.2,1.041,0.0607,2.28,8.12,0.281,0.37,0.0096,0.108,138295000,144443000,2.28,-0.5,-0.116,18,7.56,-,3.884,1.635,-,-,0.693,33.83,16.14,18.13,23.24,17049600,9/15/23,8/31/23
ACER,Common Stock,Acer Therapeutics Inc,"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development and commercialization of therapies for serious rare and life-threatening diseases. The company is headquartered in Newton, Massachusetts.",1069308,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE GATEWAY CENTER (300 WASHINGTON ST.), SUITE 351, NEWTON, MA, US",December,6/30/23,19840100,-19733236,None,None,-1.359,0,0,-1.98,0.024,0,0,-0.653,-4.73,360000,1260000,-1.98,0,0,1.5,-,-,174.52,17.26,102.76,-1.561,0.444,4.56,0.551,0.811,1.369,24463700,9/21/17,None
BCAL,Common Stock,Southern California Bancorp Common Stock,"Southern California Bancorp is the holding company for Bank of Southern California, N.A. that provides various financial products to individuals, professionals, and small-to medium-sized businesses. The company is headquartered in San Diego, California.",1795815,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"12265 EL CAMINO REAL, SUITE 210, SAN DIEGO, CA, UNITED STATES",December,6/30/23,258796000,None,None,0,14.96,0,0,-0.16,5.47,0.308,0.423,0.0131,0.117,98594000,67725000,-0.16,4.5,0.187,17,-,-,3.684,1.051,-,-,0.491,17.05,12.16,14.78,15.28,18302400,None,None
BMRC,Common Stock,Bank of Marin Bancorp,"Bank of Marin Bancorp is the holding company of Bank of Marin providing a range of financial services primarily to professionals, small and medium-sized businesses, individuals, and non-profit organizations in the San Francisco Bay Area, California in the United States. United. State. The company is headquartered in Novato, California.",1403475,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"504 REDWOOD BOULEVARD, SUITE 100, NOVATO, CA, US",December,6/30/23,292580000,None,7.44,1.93,26.45,1,0.0551,2.44,8.17,0.299,0.445,0.0093,0.0937,130394000,138692000,2.44,-0.594,-0.218,21.6,7.44,10.74,3.856,1.302,-,-,0.743,35.17,12.73,19.66,22.95,16120100,8/11/23,8/3/23
AAME,Common Stock,Atlantic American Corporation,"Atlantic American Corporation provides life and health insurance and property and casualty products in the United States. The company is headquartered in Atlanta, Georgia.",8177,NASDAQ,USD,USA,FINANCE,LIFE INSURANCE,"4370 PEACHTREE RD NE, ATLANTA, GA, US",December,6/30/23,38152300,4337000,187,0,5.07,0.02,0.0103,0.01,9.16,0.0035,0.019,0.0059,0.0062,187031000,20364000,0.01,-0.784,0.101,None,187,-,0.256,0.535,0.339,-,0.252,3.105,1.651,1.9,2.219,20402300,9/12/23,8/21/23
BRAC,Common Stock,Broad Capital Acquisition Corp,"Broad Capital Acquisition Corp focuses on conducting a merger, equity swap, asset acquisition, stock purchase, reorganization, or related business combination with one or more companies. The company is headquartered in Plano, Texas.",1865120,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"18351 COLIMA ROAD, SUITE 2896, ROWLAND HEIGHTS, CA, US",December,6/30/23,82648000,None,None,None,-0.943,0,0,-0.03,0,0,0,-0.0203,0,0,0,-0.03,0,0,None,-,-,-,-,-,-,None,11,9.96,10.8,10.59,7513500,None,None
ACCD,Common Stock,Accolade Inc,"Accolade, Inc. develops and provides technology solutions that help people understand, navigate, and utilize the health care system and benefits of their workplace in the United States. The company is headquartered in Plymouth Meeting, Pennsylvania.",1481646,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","660 W. GERMANTOWN PIKE SUITE 500, PLYMOUTH MEETING, PA, US",February,5/31/23,1036901000,-102532000,None,None,6.03,0,0,-2.06,5.14,-0.419,-0.398,-0.102,-0.314,370840000,165262000,-2.06,0,0.09,16.23,-,-,1.721,1.317,1.871,-1.876,1.723,17,6.83,13.53,11.88,75631000,None,None
BDTX,Common Stock,Black Diamond Therapeutics Inc,"Black Diamond Therapeutics, Inc., a biotechnology company, discovers and develops small molecule tumor agnostic therapies. The company is headquartered in Cambridge, Massachusetts.",1701541,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","139 MAIN STREET, CAMBRIDGE, MA, US",December,6/30/23,183608000,-85078000,None,None,2.25,0,0,-2.33,0,0,0,-0.336,-0.706,0,0,-2.33,0,0,11.33,-,-,-,0.404,-,0.646,2.464,6.85,1.18,3.875,2.47,51575000,None,None
BZFD,Common Stock,BuzzFeed Inc,None,1828972,NASDAQ,USD,USA,TECHNOLOGY,"COMMUNICATIONS SERVICES, NEC","14 ELM PLACE, SUITE 206, RYE, NY, US",December,6/30/23,58856000,-32004000,None,None,0.913,0,0,-1.36,2.732,-0.512,-0.146,-0.0644,-0.868,383410000,183159000,-1.36,-0.547,-0.27,1.38,-,172.41,0.301,0.471,0.688,-6.34,3.05,4.25,0.29,0.541,0.941,136876000,None,None
ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",January,7/31/23,43107647000,1113000000,49.55,1.079,5.64,0,0,4.07,24.3,0.168,0.201,0.0756,0.898,5212000000,4583000000,4.07,0.212,0.087,239.55,49.55,27.25,8.55,47.65,9.06,43.62,1.487,233.69,179.61,210.63,204.26,213764000,None,3/22/05
AVRO,Common Stock,AVROBIO Inc,"AVROBIO, Inc., a clinical-stage gene therapy company, develops ex vivo lentiviral-based gene therapies to treat rare diseases after a single dose worldwide. The company is headquartered in Cambridge, Massachusetts.",1681087,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE KENDALL SQUARE, BLDG. 300, SUITE 201, CAMBRIDGE, MA, US",December,6/30/23,69023000,-87887000,None,None,2.754,0,0,-0.14,0,0,0,-0.398,-0.0456,0,0,-0.14,0,0,3.25,-,-,-,0.355,-,0.619,1.576,1.93,0.56,1.372,1.096,44530700,None,None
ALPP,Common Stock,Alpine 4 Holdings Inc,"Alpine 4 Holdings, Inc., a technology holding company, offers electronic contract manufacturing solutions in the United States. The company is headquartered in Phoenix, Arizona.",1606698,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"934 W CORONADO ROAD, PHOENIX, CA, US",December,6/30/23,18720200,-12077235,None,None,2.311,0,0,-0.86,4.253,-0.196,-0.173,-0.0822,-0.317,106083000,21714400,-0.86,0,0.109,5,-,-,1.358,1.595,1.929,-32.91,7.85,6.96,0.672,1.358,3.012,24307500,None,None
